sample_id,date,month,year,cumulative_hours,monthly_operating_hours,ambient_temp_c,humidity_percent,precipitation_mm_24hr,wind_speed_kph,driver_experience_years,was_regular_maintenance_followed,engine_temp_c,fuel_efficiency_l_hr,engine_vibration_g,oil_pressure_psi,transmission_temp_c,transmission_vibration_g,transmission_fluid_level_percent,hydraulic_pressure_psi,hydraulic_fluid_temp_c,hydraulic_fluid_level_percent,battery_voltage_v,alternator_current_a,electrical_resistance_ohm,tire_pressure_psi,tire_vibration_g,fuel_pressure_psi,coolant_temp_c,coolant_level_percent,brake_temp_c,brake_fluid_pressure_psi,steering_effort_n,exhaust_temp_c,emissions_co2_ppm,failure_imminent,failure_occurred,type_of_failure,remaining_useful_life_hours
0,2017-06-20,6,2017,3446.84,101.74,28.6,63.0,0.0,11.5,2,1,80.08,15.28,1.13,47.96,84.85,0.45,97.44,2710.92,65.53,90.82,14.24,43.45,0.58,24.23,1.19,57.05,91.93,99.07,61.64,1420.57,57.57,306.22,492.22,0,0,4,4204.16
0,2017-07-20,7,2017,3504.48,57.65,30.0,68.0,1.7,18.7,9,1,92.35,14.54,1.64,50.53,90.18,1.42,95.14,1987.84,65.7,90.65,13.35,44.16,0.09,16.06,0.46,56.39,92.4,98.71,59.57,1104.51,112.54,221.35,421.1,0,0,4,4146.52
0,2017-08-19,8,2017,3642.5,138.01,34.1,68.0,0.0,11.3,11,1,96.67,22.21,0.67,44.17,69.44,1.71,99.29,2972.08,68.01,98.27,13.21,15.76,0.95,20.55,0.6,47.57,92.13,99.66,54.3,1368.5,119.18,254.58,482.55,0,0,4,4008.5
0,2017-09-18,9,2017,3841.55,199.05,16.8,61.0,1.8,10.4,9,0,85.7,13.92,1.4,57.61,86.64,1.62,97.73,1969.43,68.92,99.46,12.86,29.47,0.88,20.6,0.98,57.07,91.81,97.22,51.86,1187.35,108.51,313.82,491.83,0,0,4,3809.45
0,2017-10-18,10,2017,4081.12,239.57,19.4,69.0,0.0,23.8,30,1,95.77,16.0,1.94,55.6,89.73,0.39,94.87,2165.28,79.28,98.96,13.19,9.84,0.68,16.55,0.89,64.35,88.13,96.24,76.03,1048.84,102.11,232.16,422.69,0,0,4,3569.88
0,2017-11-17,11,2017,4201.68,120.56,14.6,64.0,0.0,11.2,11,1,96.3,21.87,1.4,55.5,78.15,0.64,93.2,2227.69,70.47,95.43,13.61,22.25,0.56,16.01,1.18,56.63,93.49,97.51,69.55,1052.24,136.25,302.43,420.7,0,0,4,3449.32
0,2017-12-17,12,2017,4239.52,37.83,3.1,70.0,0.0,16.3,26,0,97.74,9.99,0.83,40.66,71.61,1.7,94.04,2170.47,75.53,95.47,13.98,25.66,0.81,22.01,0.26,49.26,91.23,99.83,61.89,1258.81,139.49,327.67,552.78,0,0,4,3411.48
0,2018-01-16,1,2018,4245.68,6.17,1.2,77.0,0.0,13.8,27,1,83.62,12.84,1.32,51.07,88.71,1.09,95.83,2878.96,74.3,91.28,13.95,44.33,0.78,15.93,1.14,52.8,93.34,96.51,57.17,1206.2,67.1,208.67,503.88,0,0,4,3405.32
0,2018-02-15,2,2018,4267.82,22.14,-4.9,89.0,6.1,22.7,21,1,89.45,23.18,1.48,49.06,70.54,1.4,95.42,2475.3,64.41,91.68,14.0,18.06,0.88,20.24,0.88,52.75,91.6,96.41,74.94,1444.04,75.24,338.91,341.36,0,0,4,3383.18
0,2018-03-17,3,2018,4375.86,108.04,11.1,79.0,0.0,16.0,4,1,93.54,17.49,0.85,42.49,70.25,1.52,90.72,2384.64,61.33,96.89,13.64,23.75,0.57,15.25,0.58,63.79,88.01,98.9,79.92,1333.96,78.65,373.36,368.08,0,0,4,3275.14
0,2018-04-16,4,2018,4528.28,152.42,18.2,79.0,0.5,19.7,17,1,85.41,25.05,1.66,47.3,85.51,1.5,97.15,2259.82,75.39,94.4,13.68,16.4,0.24,22.18,1.43,57.2,94.53,99.9,68.93,1453.1,79.33,232.77,585.45,0,0,4,3122.72
0,2018-05-16,5,2018,4842.83,314.55,19.8,66.0,1.2,23.2,10,1,86.84,15.22,1.65,41.81,88.41,1.44,94.42,2789.79,77.29,93.86,12.77,20.11,0.58,21.17,0.31,50.17,93.89,96.07,68.61,1050.28,96.47,213.92,541.22,0,0,4,2808.17
0,2018-06-15,6,2018,4965.3,122.47,31.8,60.0,2.9,17.7,4,1,94.06,12.77,1.7,46.38,71.69,0.93,95.8,2422.32,77.37,99.65,13.63,26.34,0.39,18.87,0.78,54.48,88.67,99.03,57.64,1393.05,147.32,270.26,370.89,0,0,4,2685.7
0,2018-07-15,7,2018,5057.16,91.86,28.2,74.0,0.7,5.4,25,1,93.99,22.45,1.85,46.97,72.63,0.79,97.49,2540.18,62.95,97.49,12.61,17.56,0.97,21.1,0.86,49.94,92.84,95.53,62.65,1302.3,126.52,288.93,487.58,0,0,4,2593.84
0,2018-08-14,8,2018,5188.82,131.67,33.0,59.0,0.0,16.2,4,0,81.46,23.55,1.56,53.76,78.53,1.36,92.72,2929.37,74.58,97.17,14.16,41.71,0.56,16.02,0.37,53.64,91.2,99.14,56.18,1213.4,108.22,369.99,599.87,0,0,4,2462.18
0,2018-09-13,9,2018,5401.93,213.11,24.5,84.0,0.0,19.6,8,1,87.14,18.03,1.18,45.99,81.72,0.51,92.63,2775.49,70.12,96.35,13.55,28.19,0.33,17.71,0.48,50.83,94.85,98.34,77.91,1085.9,144.54,391.7,331.14,0,0,4,2249.07
0,2018-10-13,10,2018,5551.66,149.74,16.5,79.0,0.0,22.6,17,1,96.48,11.17,1.56,52.5,88.8,0.67,98.41,2533.1,61.6,91.68,13.15,39.02,0.81,16.72,1.13,60.71,89.9,96.86,69.36,1268.78,95.18,213.17,318.49,0,0,4,2099.34
0,2018-11-12,11,2018,5701.87,150.21,18.1,72.0,4.6,11.4,20,1,90.93,14.98,1.91,44.13,80.96,1.31,92.88,2425.87,78.42,90.25,14.53,17.67,1.01,22.24,0.73,54.25,93.25,97.46,58.05,1072.21,70.62,265.71,388.51,0,0,4,1949.13
0,2018-12-12,12,2018,5745.07,43.2,-2.6,80.0,7.8,23.1,4,1,81.37,11.16,1.86,45.49,88.53,1.17,96.63,2223.68,65.3,92.72,12.7,31.68,0.65,24.89,0.76,50.53,85.13,99.19,67.41,1249.97,90.51,406.24,560.4,0,0,4,1905.93
0,2019-01-11,1,2019,5748.5,3.43,-9.4,84.0,0.0,23.3,20,1,82.71,15.24,1.46,42.76,85.71,0.53,98.8,2909.39,64.28,97.71,12.98,16.93,0.3,24.61,0.46,47.91,85.73,98.43,51.66,1390.01,139.62,269.96,561.27,0,0,4,1902.5
0,2019-02-10,2,2019,5775.4,26.9,-0.2,83.0,0.0,13.7,3,1,86.95,19.32,0.95,57.19,89.1,0.72,97.63,2101.06,80.03,90.48,14.39,42.26,0.35,15.62,0.64,63.38,90.26,97.39,63.55,1301.34,90.74,256.05,440.62,0,0,4,1875.6
0,2019-03-12,3,2019,5825.3,49.9,13.9,63.0,2.9,24.7,27,1,82.13,22.71,0.86,53.88,89.39,1.69,92.85,2755.11,70.14,91.26,13.46,14.58,0.09,15.96,1.18,46.8,91.12,95.16,58.49,1333.67,85.35,297.66,473.43,0,0,4,1825.7
0,2019-04-11,4,2019,6001.73,176.43,7.5,63.0,3.0,17.3,1,1,94.38,14.27,0.89,52.24,88.12,1.25,97.09,2501.31,60.34,91.83,12.95,31.2,0.67,23.9,0.53,61.62,87.52,98.09,76.3,1373.34,82.0,269.98,575.74,0,0,4,1649.27
0,2019-05-11,5,2019,6302.84,301.11,17.5,70.0,0.0,22.9,27,1,91.28,13.21,0.89,50.2,88.74,1.07,96.99,2073.1,67.8,90.88,14.16,12.46,0.96,16.94,1.18,55.74,89.8,96.21,69.45,1224.02,130.3,396.83,423.13,0,0,4,1348.16
0,2019-06-10,6,2019,6465.3,162.46,34.0,57.0,2.8,16.1,29,1,99.05,17.79,1.55,41.12,83.37,0.62,99.02,2207.33,73.13,99.16,13.41,43.79,0.18,23.89,0.74,63.18,86.55,96.74,64.82,1003.95,65.91,255.49,352.24,0,0,4,1185.7
0,2019-07-10,7,2019,6516.2,50.9,30.1,53.0,1.9,5.8,29,1,81.9,24.08,1.83,49.48,78.28,1.38,91.29,2375.78,68.49,91.88,13.79,45.55,0.42,23.98,0.66,54.63,87.12,95.77,80.53,1331.22,126.17,222.33,492.11,0,0,4,1134.8
0,2019-08-09,8,2019,6620.96,104.77,27.3,70.0,1.6,13.3,27,1,87.16,14.53,1.37,50.68,72.24,1.37,96.94,2788.03,73.37,99.85,13.63,29.07,0.94,24.46,0.72,58.69,86.53,98.5,59.92,1095.8,82.59,348.05,349.8,0,0,4,1030.04
0,2019-09-08,9,2019,6916.26,295.3,14.0,68.0,2.2,17.2,26,1,79.43,10.8,1.75,46.85,74.71,0.44,94.68,2748.31,70.74,99.68,12.85,34.28,0.74,22.13,0.58,50.75,92.93,97.11,78.85,1010.17,97.55,348.5,333.99,0,0,4,734.74
0,2019-10-08,10,2019,7169.46,253.2,10.4,83.0,0.0,11.0,11,1,88.04,18.04,1.77,53.9,71.54,0.44,95.49,2904.79,68.92,95.63,12.84,41.92,0.48,19.86,0.32,63.79,91.66,97.2,76.53,1018.86,123.72,212.11,569.27,1,0,4,481.54
0,2019-11-07,11,2019,7358.56,189.1,16.3,79.0,2.9,19.4,11,1,85.63,24.54,1.91,52.86,78.01,1.43,97.19,2720.92,67.0,91.82,12.68,42.0,0.7,21.29,1.06,53.58,90.76,97.5,69.53,1171.48,74.54,285.25,378.1,1,0,4,292.44
0,2019-12-07,12,2019,7447.3,88.74,-3.4,82.0,0.0,22.7,5,1,81.01,11.52,1.37,47.13,83.73,0.35,97.35,2596.2,75.58,91.74,12.85,24.79,0.84,16.09,0.45,58.66,92.08,99.16,69.98,1272.59,136.49,352.97,503.44,1,0,4,203.7
0,2020-01-06,1,2020,7460.82,13.52,-1.7,73.0,0.0,28.3,19,1,90.72,22.37,1.45,55.57,85.87,0.7,99.73,2623.11,63.52,94.83,12.65,25.48,0.85,16.45,0.61,54.63,86.14,98.02,78.24,1177.87,75.28,305.09,570.25,1,0,4,190.18
0,2020-02-05,2,2020,7469.82,9.0,-4.5,82.0,0.0,10.1,5,1,87.36,14.17,1.81,58.63,78.85,0.79,99.24,2394.8,76.23,92.74,13.63,47.31,0.63,14.66,0.56,55.28,92.93,97.59,49.41,1455.4,48.25,323.02,483.35,1,0,4,181.18
0,2020-03-06,3,2020,7536.16,66.34,7.3,68.0,0.0,24.5,1,1,96.31,17.48,1.19,53.98,77.48,1.15,96.31,1969.18,70.68,94.94,12.92,24.15,0.31,18.05,1.06,58.68,92.23,98.32,61.58,1093.86,153.34,295.62,558.26,1,0,4,114.84
0,2020-04-05,4,2020,7651.0,227.34,5.2,68.0,0.0,18.7,21,0,92.78,19.74,1.65,52.55,85.66,0.9,94.28,2676.19,74.07,92.9,12.57,39.83,0.67,22.82,0.45,57.04,94.83,94.83,61.26,1469.41,101.42,230.54,578.34,0,1,4,0.0
